Country,ISO_Code,Level,GDLCODE,Region,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"India","IND","National","INDt","Total",20.7,,,,,,,33.7,,,,,,,44.2,,,,,,60.5,,,,65.2,,,,
"Indonesia","IDN","National","IDNt","Total",,,,,,17.4,,,,,,62.3,,,,68.7,,,,,83.3,,,,,88.7,,,
"Iraq","IRQ","National","IRQt","Total",,,,,,,,,,,,,,,94.5,,,,,98.5,,,,,,,98.6,,
"Jamaica","JAM","National","JAMt","Total",,,,,,,,,,,,,,,,,,,,90.2,,,,,,,,,
"Jordan","JOR","National","JORt","Total",,,,,,,,,,,96.3,,,,,97.2,,,,,99.1,,,,,98.8,,,
"Kazakhstan","KAZ","National","KAZt","Total",,,,89.6,,,,91.8,,,,,,,98.3,,,,98.1,,,,,99.3,,,,,
"Kenya","KEN","National","KENt","Total",,6.18,,,,,13.1,,,,,19.5,,,,,28.1,,,,,,34.5,,,,,,
"Kiribati","KIR","National","KIRt","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,
"Kosovo","XKO","National","KSVt","Total",,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,98.9
"Kyrgyzstan","KGZ","National","KGZt","Total",,,,,,84.5,,,,,,,,,95.8,,,,,,98.6,,99.0,,,,97.5,,
"Lao","LAO","National","LAOt","Total",,,,,,,,,,,,,,,,,,,,,68.7,,,,,84.7,,,
"Lesotho","LSO","National","LSOt","Total",,,,,,,,,,,,,13.1,,,,,,19.1,,,,27.7,,,,68.2,,
"Liberia","LBR","National","LBRt","Total",,,,,,,,,,,,,,,,6.96,,,,,,14.1,,,,,,,
"Madagascar","MDG","National","MDGt","Total",3.87,,,,,6.27,,,,,,,17.5,,,,,15.8,,,,,,,,,51.0,,
"Malawi","MWI","National","MWIt","Total",,,,,,,,,2.28,,,,5.29,,,,,,10.8,,,,,,11.7,,,,
"Malaysia","MYS","National","MYSt","Total",,,,,,,,,84.8,,,,,,,,,,,98.1,,,,,,,,,
"Maldives","MDV","National","MDVt","Total",,,,,,,,,,,,,,,,,,95.8,,,,,,,,94.1,,,
"Mali","MLI","National","MLIt","Total",,,,8.47,,,,,,14.2,,,,,22.3,,,,,,,30.7,,,,,42.6,,
"Mauritania","MRT","National","MRTt","Total",,,,,,,,,,20.0,,,,,,29.8,,,,35.3,,,,,,,,,
"Mauritius","MUS","National","MUSt","Total",,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,
"Mexico","MEX","National","MEXt","Total",,,,,,,,,86.2,,,,,,,,,,93.1,,,,,95.6,,,,,
"Moldova","MDA","National","MDAt","Total",,,,,,,,,,,,,,86.0,,,,,,,91.9,,,,,,,,
"Mongolia","MNG","National","MNGt","Total",,,,,,,,,,,,,,82.4,,,,,88.8,,,,,,,,94.6,,
"Monte Negro","MNE","National","MNEt","Total",,,,,,,,,,,,,,97.8,,,,,,,,99.2,,,,,99.2,,
"Morocco","MAR","National","MARt","Total",58.5,,,,,,,,,,,66.6,,,,,,,,,,,94.3,,,,,,
"Mozambique","MOZ","National","MOZt","Total",,,,,,3.06,,,,,,8.60,,,,,,,,18.6,,,,,,,,,
"Myanmar","MMR","National","MMRt","Total",,,,,,,,,67.2,,,,,,,,,,,,,,,,57.1,,,,
"Namibia","NAM","National","NAMt","Total",18.5,,,,,,,,29.1,,,,,,37.0,,,,,,,43.6,,,,,,,
"Nepal","NPL","National","NPLt","Total",,,,,6.62,,,,,13.1,,,,,27.9,,,,,46.9,,,,,51.6,,,,
"Nicaragua","NIC","National","NICt","Total",,,,,,,55.6,,,59.5,,,,,,82.2,,,,,83.6,,,,,,,,
"Niger","NER","National","NERt","Total",,,,,,,4.94,,,,,,,,6.22,,,,,,11.5,,,,,,,,
"Nigeria","NGA","National","NGAt","Total",,,,,,,,26.0,,,,31.0,,,,,39.4,,,,,47.8,,,,,49.1,,
"North Macedonia","MKD","National","MKDt","Total",,,,,,,,,,,,,,97.9,,,,,,98.3,,,,,,,,99.0,
"Pakistan","PAK","National","PAKt","Total",,,,,,,,,,,,,,,,55.8,,,,,60.2,,,,,,63.2,,
"Palestine","PSE","National","PSEt","Total",,,,,,,,,,,,,,,,,,,95.9,,,,97.2,,,,,,
"Panama","PAN","National","PANt","Total",,,,,,,,,,,,,,,,85.4,,,,,94.4,86.3,,,,,,,
"Papua New Guinea","PNG","National","PNGt","Total",,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,
"Paraguay","PRY","National","PRYt","Total",,,,,,,,,,,75.8,,,,,88.3,,,,,93.8,,,,,,,,
"Peru","PER","National","PERt","Total",,,,,65.1,,,,68.2,,,,69.1,,71.9,,71.6,74.8,77.7,79.7,80.3,,,,,,,,
"Philippines","PHL","National","PHLt","Total",,,,,,,56.4,,,,,63.2,,,,,71.2,,,,,75.0,,,,76.9,,,
"Rwanda","RWA","National","RWAt","Total",,,,,,,,,2.39,,,,,2.34,,,,,5.26,,,,,9.61,,,,,
"Saint Lucia","LCA","National","LCAt","Total",,,,,,,,,,,,,,,,,,,,,90.1,,,,,,,,
"Sao Tome & Principe","STP","National","STPt","Total",,,,,,,,,26.5,,,,,,,,,49.4,,,,,68.3,,,,,86.3,
"Senegal","SEN","National","SENt","Total",16.5,,,,,20.9,,,,,,,,40.1,,,,,,51.8,52.8,,56.4,55.5,55.5,56.7,60.6,62.4,
"Serbia","SRB","National","SRBt","Total",,,,,,,,,,,,,,97.4,,,,,98.8,,,,98.6,,,,,99.0,
"Sierra Leone","SLE","National","SLEt","Total",,,,,,,,,,,,,,,,,10.1,,,,,13.6,,,,77.6,,20.5,
"Somalia","SOM","National","SOMt","Total",,,,,,,,,,,,,,,7.17,,,,,18.5,,,,,,,,,
"South Africa","ZAF","National","ZAFt","Total",,,,,,,58.0,,,,,,,,,,,,,75.0,,,,,76.8,,,,
"South Sudan","SSD","National","SSDt","Total",,,,,,,,,,,,,,,,,2.09,,3.84,,,,,,,,,,
"Sudan","SDN","National","SDNt","Total",,,,,,,,,22.9,,,,,,,,27.1,,34.1,,,,39.9,,,,,,
"Suriname","SUR","National","SURt","Total",,,,,,,,,,,,,,,83.6,,,,88.4,,,,,,,,90.1,,
"Syria","SYR","National","SYRt","Total",,,,,,,,,,,,,,,97.6,,,,,,,,,,,,,,
"Tajikistan","TJK","National","TJKt","Total",,,,,,,,,65.7,,,,,88.8,,,,,,,96.4,,,,,98.1,,,
"Tanzania","TZA","National","TZAt","Total",0.51,,,,1.63,,,2.39,,,,,6.12,,,,,,13.1,,,,,20.2,,,,,
"Thailand","THA","National","THAt","Total",,,,,,,,,,,,,,,94.8,,,,,,96.9,,,,,96.6,,94.2,
"Timor Leste","TLS","National","TLSt","Total",,,,,,,,,,,,,,,,,,22.5,,,,,,,40.2,,,,
"Togo","TGO","National","TGOt","Total",,,,,,,12.8,,,,,,,,24.1,,,,,,,,36.6,,,71.2,,,
"Tonga","TON","National","TONt","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,
"Trinidad & Tobago","TTO","National","TTOt","Total",,,,,,,,,,,,,,,95.0,,,,,96.1,,,,,,,,,
"Tunisia","TUN","National","TUNt","Total",,,,,,,,,,,,,,,,,,,,,96.5,,,,,,97.6,,
"Turkey","TUR","National","TURt","Total",,86.7,,,,,91.7,,,,,94.8,,,,,96.0,,,,,98.0,,,,,,,
"Turkmenistan","TKM","National","TKMt","Total",,,,,,,,,,,,,,,97.4,,,,,,,,,99.8,,,,99.9,
"Uganda","UGA","National","UGAt","Total",,,,2.90,,,,,,5.61,,,,,6.18,,,,,12.4,,,,,16.9,,,,
"Ukraine","UKR","National","UKRt","Total",,,,,,,,,,,,,,98.8,,97.3,,,,,75.8,,,,,,,,
"Uruguay","URY","National","URYt","Total",,,,,,,,,,,,,,,,96.7,,,,,98.9,99.0,,,,,,,
"Uzbekistan","UZB","National","UZBt","Total",,,,,90.7,,,,,,,,,,96.1,,,,,,,,,,,,,,
"Vanuatu","VUT","National","VUTt","Total",,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
"Venezuela","VEN","National","VENt","Total",,,,,,,,,,90.3,,,,,,,,,,,,99.3,,,,,,,
"Vietnam","VNM","National","VNMt","Total",,,,,,49.7,,,,,70.1,,,,99.3,,,,92.2,,,,94.0,,,,,,
"Yemen","YEM","National","YEMt","Total",,,,,,42.6,,,,,,,,,54.1,,,,,,,66.9,,,,,,,
"Zambia","ZMB","National","ZMBt","Total",,,,,17.5,,,,,,19.1,,,,,24.5,,,,,,,36.9,,,,36.6,,
"Zimbabwe","ZWE","National","ZWEt","Total",,,15.0,,,,,24.6,,,,,,,31.1,,,,,36.3,,,,37.4,,,,63.4,
