iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
DEU,Germany,2018.0,1451942.0,2151034.0,1092973.39111,1330971.02853,1535170.0,2373819.0,1451942.0,1535170.0,2216999.0,2379787.0,1213890.0,1309468.0,Western Europe,51.0,42.0,92.0,50.0,False,False,True
GHA,Ghana,2019.0,2243694.0,831036.0,562747.0,610281.0,2306181.0,847096.0,2243694.0,2306181.0,961341.0,1003142.0,906256.0,947123.0,West and Central Africa,67.0,50.0,3.0,115.0,True,True,True
GRC,Greece,2018.0,312219.0,154136.0,163851.0,181042.0,330968.0,169167.0,313655.0,333633.0,154136.0,169167.0,163851.0,181042.0,Western Europe,77.0,61.0,44.0,53.0,True,False,True
GRD,Grenada,2018.0,6362.0,2745.0,1802.0,1728.0,6833.0,2860.0,6362.0,6833.0,2745.0,2860.0,1802.0,1728.0,Latin America and Caribbean,41.0,60.0,69.0,65.0,False,False,True
GTM,Guatemala,2019.0,1144226.0,362609.0,211233.0,204944.0,1221574.0,416279.0,1144226.0,1221574.0,573484.0,597791.0,571510.0,593627.0,Latin America and Caribbean,45.0,165.0,3.0,22.0,True,True,True
GIN,Guinea,2014.0,786925.0,192713.0,87288.0,141083.0,942705.0,294618.0,925960.0,938594.0,541162.0,551429.0,360879.0,366082.0,West and Central Africa,36.0,109.0,90.0,0.0,True,True,True
HND,Honduras,2019.0,540785.0,226621.0,130618.0,107793.0,563171.0,223203.0,591099.0,616011.0,304669.0,317202.0,204290.0,212827.0,Latin America and Caribbean,44.0,147.0,1.0,43.0,True,True,True
HUN,Hungary,2018.0,181621.0,189386.0,202641.0,214173.0,192216.0,202369.0,188384.0,197969.0,189386.0,202369.0,202641.0,214173.0,Western Europe,48.0,73.0,51.0,63.0,True,False,True
ISL,Iceland,2018.0,15702.0,6330.0,10915.0,11482.0,16719.0,6444.0,15702.0,16719.0,6330.0,6444.0,10915.0,11482.0,Western Europe,54.0,0.0,150.0,31.0,False,False,True
IND,India,2019.0,57647885.0,31065332.0,31325072.0,35431848.0,62416278.0,33110567.0,58936027.0,65060457.0,36189563.0,40294099.0,47530148.0,53418830.0,South Asia,0.0,146.0,0.0,89.0,True,False,True
IDN,Indonesia,2018.0,14056824.0,6697134.0,5543649.0,5630113.0,15368924.0,7022674.0,14056824.0,15368924.0,6828092.0,7246247.0,6766594.0,7157631.0,East Asia and Pacific,31.0,102.0,3.0,99.0,True,True,True
IRN,Iran (Islamic Republic of),2017.0,4096819.0,1506031.0,1224062.0,1314492.0,4074848.0,1639653.0,4096819.0,4074848.0,1620673.0,1703186.0,1604312.0,1657555.0,Middle East and North Africa,59.0,69.0,0.0,107.0,True,True,True
IRL,Ireland,2018.0,275444.0,118689.0,138139.0,117043.0,288860.0,117890.0,275444.0,288860.0,118689.0,117890.0,138139.0,117043.0,Western Europe,64.0,90.0,81.0,0.0,True,False,True
ISR,Israel,2018.0,457387.0,212024.0,198593.0,205533.0,478827.0,220624.0,457387.0,478827.0,212024.0,220624.0,198593.0,205533.0,Middle East and North Africa,63.0,65.0,33.0,74.0,True,False,True
ITA,Italy,2018.0,1370089.0,845383.0,1374128.0,1480434.0,1500674.0,930493.0,1370089.0,1500674.0,845383.0,930493.0,1374128.0,1480434.0,Western Europe,77.0,66.0,35.0,57.0,True,False,True
JOR,Jordan,2019.0,560999.0,302753.0,114812.0,105584.0,586203.0,309635.0,691709.0,710752.0,430512.0,438960.0,202148.0,205774.0,Middle East and North Africa,56.0,148.0,3.0,28.0,True,False,True
KAZ,Kazakhstan,2020.0,734243.0,739426.0,245827.0,258193.0,778834.0,780828.0,734243.0,778834.0,739426.0,780828.0,245827.0,258193.0,Eastern Europe and Central Asia,89.0,46.0,3.0,97.0,True,False,True
KOR,"Korea, Republic of",2018.0,1317732.0,646522.0,737224.0,810894.0,1401626.0,699339.0,1324104.0,1405907.0,670984.0,723684.0,737224.0,810894.0,East Asia and Pacific,12.0,50.0,57.0,116.0,True,False,True
KGZ,Kyrgyzstan,2019.0,267967.0,261853.0,80045.0,80963.0,283243.0,274915.0,267967.0,283243.0,261853.0,274915.0,96463.0,100221.0,Eastern Europe and Central Asia,81.0,74.0,3.0,77.0,True,False,True
LAO,Lao People's Democratic Republic,2019.0,371442.0,213964.0,103163.0,118545.0,399217.0,230483.0,371442.0,399217.0,289762.0,299269.0,209130.0,214714.0,East Asia and Pacific,54.0,42.0,84.0,55.0,True,True,True
LVA,Latvia,2018.0,59478.0,27180.0,29727.0,31098.0,62196.0,29321.0,59561.0,62584.0,27180.0,29321.0,29727.0,31098.0,Western Europe,76.0,43.0,103.0,13.0,True,False,True
