iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
TGO,Togo,2017.0,742158.0,240413.0,64996.0,113623.0,782033.0,308917.0,742158.0,782033.0,352921.0,355290.0,233690.0,235139.0,West and Central Africa,102.0,52.0,64.0,17.0,False,False,False
TKL,Tokelau,2019.0,82.0,70.0,22.0,9.0,85.0,85.0,82.0,85.0,70.0,85.0,37.0,36.0,East Asia and Pacific,29.0,0.0,198.0,8.0,False,False,False
TON,Tonga,2015.0,8052.0,6192.0,1536.0,1396.0,8930.0,6676.0,8052.0,8930.0,6192.0,6676.0,1998.0,2163.0,East Asia and Pacific,21.0,12.0,202.0,0.0,False,False,False
TUN,Tunisia,2016.0,549323.0,255511.0,282336.0,234565.0,589991.0,274623.0,549323.0,589991.0,255511.0,274623.0,314457.0,340531.0,Middle East and North Africa,71.0,75.0,3.0,86.0,True,False,True
TUR,Turkey,2018.0,2482867.0,2748614.0,2704248.0,2985179.0,2621732.0,2841520.0,2631273.0,2747059.0,2748614.0,2841520.0,2704248.0,2985179.0,Eastern Europe and Central Asia,62.0,129.0,3.0,41.0,True,False,True
TKM,Turkmenistan,2019.0,272340.0,268383.0,77514.0,80243.0,284844.0,280407.0,272340.0,284844.0,295446.0,302483.0,93941.0,96066.0,Eastern Europe and Central Asia,66.0,0.0,169.0,0.0,False,False,False
TCA,Turks and Caicos Islands,2018.0,1795.0,738.0,412.0,398.0,1885.0,768.0,1795.0,1885.0,893.0,932.0,589.0,612.0,Latin America and Caribbean,60.0,97.0,78.0,0.0,False,False,False
TUV,Tuvalu,2019.0,787.0,172.0,209.0,137.0,901.0,164.0,787.0,901.0,473.0,500.0,335.0,350.0,East Asia and Pacific,40.0,11.0,149.0,35.0,False,False,False
UKR,Ukraine,2014.0,825975.0,931884.0,376397.0,427979.0,859055.0,977386.0,825047.0,876300.0,953859.0,1006817.0,422822.0,443238.0,Eastern Europe and Central Asia,55.0,89.0,90.0,1.0,True,False,True
ARE,United Arab Emirates,2019.0,272883.0,165384.0,107520.0,119392.0,280795.0,163963.0,272883.0,280795.0,165384.0,163963.0,107520.0,119392.0,Middle East and North Africa,67.0,168.0,0.0,0.0,False,False,True
GBR,United Kingdom of Great Britain and Northern Ireland,2018.0,2387017.0,1264696.30361,1793524.7658,1760447.36786,2505485.0,1355022.15057,2387017.0,2505485.0,1264696.30361,1355022.15057,1793524.7658,1760447.36786,Western Europe,54.0,62.0,79.0,40.0,True,False,True
USA,United States of America,2018.0,12205274.5316,6176264.42185,5943304.6643,6246285.77109,12752681.36194,6505501.70774,12205274.5316,12752681.36194,6176264.42185,6505501.70774,6181748.0,6446347.0,North America,43.0,0.0,0.0,192.0,True,False,True
URY,Uruguay,2018.0,144325.0,89688.0,93812.0,80215.0,152466.0,92136.0,144325.0,152466.0,89688.0,92136.0,93812.0,80215.0,Latin America and Caribbean,84.0,20.0,37.0,94.0,True,False,True
UZB,Uzbekistan,2019.0,1212132.0,1256564.0,726851.0,738528.0,1293798.0,1351085.0,1212132.0,1293798.0,1288990.0,1353265.0,752699.0,785995.0,Eastern Europe and Central Asia,82.0,54.0,94.0,5.0,True,False,True
VUT,Vanuatu,2015.0,21741.0,7400.0,2670.0,2666.0,24190.0,7832.0,21741.0,24190.0,10781.0,11706.0,7545.0,7913.0,East Asia and Pacific,31.0,13.0,185.0,6.0,False,True,True
VEN,Venezuela (Bolivarian Republic of),2017.0,1586206.0,767726.0,449004.0,408151.0,1699093.0,766293.0,1652320.0,1729345.0,806792.0,843584.0,522026.0,542465.0,Latin America and Caribbean,62.0,170.0,3.0,0.0,True,True,True
VGB,Virgin Islands (British),2016.0,1544.0,687.0,369.0,303.0,1765.0,675.0,1544.0,1765.0,687.0,675.0,428.0,440.0,Latin America and Caribbean,66.0,43.0,6.0,120.0,False,False,False
YEM,Yemen,2016.0,1778284.0,482567.0,306027.0,454269.0,2121850.0,673008.0,2041605.0,2123537.0,936919.0,972954.0,886062.0,918384.0,Middle East and North Africa,48.0,70.0,90.0,27.0,True,False,False
